id,tested_positive
0,14.70708
1,-4.5030184
2,-3.2701528
3,12.055316
4,0.32738656
5,22.239803
6,20.460709
7,-4.8804708
8,9.429454
9,13.583116
10,7.4982233
11,17.999691
12,21.725739
13,4.9083805
14,18.833881
15,12.690537
16,21.680225
17,1.4450586
18,23.091599
19,0.87601405
20,4.644974
21,20.535145
22,7.618544
23,13.442034
24,12.595609
25,25.290531
26,18.497536
27,16.300928
28,1.8205936
29,21.836506
30,0.69146997
31,0.33358002
32,22.139584
33,3.9052935
34,10.241639
35,36.235523
36,6.3508687
37,-0.114032984
38,7.521973
39,7.881106
40,13.263223
41,-10.545501
42,4.428791
43,27.647255
44,0.5686752
45,7.055387
46,12.0519705
47,-0.056672037
48,5.961825
49,17.085812
50,11.882844
51,11.813085
52,10.527643
53,9.829863
54,8.871043
55,23.985302
56,-0.9272767
57,11.460223
58,29.927237
59,10.725714
60,17.737312
61,18.739658
62,35.24534
63,20.837193
64,18.253016
65,2.0242732
66,0.33100992
67,16.503057
68,38.656734
69,11.244573
70,19.579245
71,13.452838
72,7.6520696
73,24.373854
74,9.812278
75,-0.22740978
76,17.362103
77,9.676307
78,-1.3521025
79,1.9757633
80,9.181691
81,9.204337
82,10.864596
83,10.02444
84,3.2746344
85,10.7778
86,25.00608
87,1.6797206
88,-6.8390207
89,8.17041
90,22.639881
91,24.895828
92,17.727533
93,-1.7025766
94,9.46198
95,8.1919565
96,0.60098726
97,16.42379
98,7.3606396
99,13.419934
100,0.7388759
101,11.355374
102,9.203794
103,10.919007
104,-0.023878515
105,25.739876
106,24.371487
107,9.300435
108,14.353828
109,0.18138367
110,10.231135
111,0.46232635
112,12.426463
113,23.539152
114,6.564391
115,-0.1379546
116,0.20705658
117,20.208633
118,16.62822
119,-0.029815137
120,14.458277
121,17.232288
122,5.8873353
123,15.28728
124,30.339382
125,5.341019
126,4.1728764
127,-0.9472789
128,2.115479
129,4.790139
130,11.309159
131,13.025252
132,10.478918
133,10.2587805
134,24.736778
135,20.896675
136,12.695197
137,-9.093401
138,14.404687
139,26.18723
140,24.056778
141,11.058558
142,13.599856
143,26.948856
144,6.533151
145,37.75201
146,1.3559146
147,2.841178
148,19.162691
149,14.1674
150,31.57426
151,10.735179
152,15.167283
153,-7.0279937
154,21.877644
155,6.0353217
156,12.738065
157,24.266125
158,10.128865
159,9.319436
160,16.957422
161,23.240938
162,7.0128574
163,8.569882
164,9.223245
165,18.32003
166,19.707039
167,8.239244
168,18.584675
169,8.213472
170,0.8883222
171,5.2890267
172,23.05502
173,37.604862
174,13.726635
175,-5.2619596
176,1.2599163
177,35.90304
178,23.000834
179,12.504521
180,14.251133
181,14.4894495
182,20.098013
183,4.601787
184,21.282188
185,0.29250795
186,14.380235
187,-11.275531
188,5.517039
189,19.990456
190,-9.531899
191,23.850117
192,22.184189
193,10.302869
194,13.93673
195,35.922016
196,10.928525
197,19.921413
198,4.1607666
199,13.6037445
200,24.245903
201,9.018155
202,22.526932
203,8.714463
204,21.35573
205,33.399426
206,18.23403
207,17.806396
208,8.073149
209,3.654948
210,6.0130143
211,14.890897
212,28.928833
213,-2.9718
214,11.6285095
215,12.810373
216,9.424811
217,6.2371426
218,5.2493463
219,5.547692
220,12.210164
221,5.723754
222,15.364055
223,2.8276238
224,14.372367
